Predicted,Actual
0.34938175999374554,0.376
0.3499189877297607,0.401
0.35143759577069583,0.431
0.39034639433953927,0.349
0.3523257502508994,0.303
0.34927123399051374,0.355
0.3705897838470168,0.39
0.3585163049118959,0.379
0.364823267475834,0.271
0.3725822687932036,0.381
0.36368489373811674,0.398
0.34713042137850414,0.25
0.38892352541799674,0.382
0.40688506187035617,0.462
0.3557437981217354,0.273
0.37974820816929195,0.375
0.37352788603488374,0.362
0.3808266092437501,0.387
0.3626809661152602,0.377
0.3487504176137094,0.413
